Algo,TFIDF,Stemming,Punc,Stopword,Time,Accuracy
GradientBoostingClassifier,0,Nothing,Space,>3,8.84960427,83.78
GradientBoostingClassifier,0,Porter,Nothing,>3,13.56273012,83.7775
GradientBoostingClassifier,0,Nothing,Nothing,>3,10.48038499,83.7325
GradientBoostingClassifier,0,Lemmatizer,Nothing,>2,11.90495231,83.705
GradientBoostingClassifier,1,Lemmatizer,Space,>2,19.68899972,83.6775
GradientBoostingClassifier,0,Lemmatizer,Nothing,>3,11.00523434,83.625
GradientBoostingClassifier,0,Nothing,Space,>2,9.78915646,83.5125
GradientBoostingClassifier,1,Lemmatizer,Space,>3,17.53687784,83.4075
GradientBoostingClassifier,0,Lemmatizer,Space,>3,9.40969394,83.22
MultinomialNB,1,Porter,Space,>3,5.83705921,81.315
MultinomialNB,1,Lemmatizer,Space,>3,2.24893518,81.175
MultinomialNB,1,Snowball,Space,>3,4.35311605,81.0625
MultinomialNB,1,Snowball,Space,>2,4.83279267,80.9525
MultinomialNB,1,Nothing,Space,>3,1.24040315,80.9225
MultinomialNB,1,Nothing,Space,>2,1.2602525,80.6325
MultinomialNB,1,Lemmatizer,Space,>2,2.42011948,80.6225
MultinomialNB,1,Porter,Space,>2,6.5649551,80.5075
MultinomialNB,1,Lemmatizer,Nothing,>3,2.21354853,80.275
MultinomialNB,1,Snowball,Nothing,>3,4.36160706,80.0175
MultinomialNB,1,Nothing,Nothing,>2,1.23400593,79.865
MultinomialNB,1,Porter,Nothing,>3,5.91606813,79.7925
MultinomialNB,1,Porter,Nothing,>2,6.62473629,79.7575
MultinomialNB,1,Lemmatizer,Nothing,>2,2.39213197,79.4775
MultinomialNB,1,Nothing,Nothing,>3,1.20635045,79.4225
MultinomialNB,1,Snowball,Nothing,>2,4.84909008,79.29
K-Neighbors,0,Snowball,Nothing,>3,6.62659436,77.74
K-Neighbors,0,Nothing,Nothing,>3,3.34745566,77.4325
K-Neighbors,0,Porter,Nothing,>3,8.11809077,77.2875
K-Neighbors,0,Snowball,Space,>3,6.56417609,76.9425
K-Neighbors,0,Lemmatizer,Nothing,>3,4.44558984,76.825
K-Neighbors,0,Porter,Space,>3,8.59754365,76.625
K-Neighbors,0,Nothing,Space,>3,3.41172062,75.965
K-Neighbors,0,Lemmatizer,Space,>3,4.3931974,75.8625
K-Neighbors,0,Porter,Nothing,>2,9.19055987,74.2075
